Sn,Companies Name,Area,City,HR Mail ID,Career Link,Status,Roles,Packages,Experience,WFH/WFO,Skills,Date ,Follow-up-1(24hrs),Follow-up-2(48hrs),Follow-up-3(100 HRS),Shifts
COM1,Biocon,Electronic City,Bangalore,bangalore.hrd@inf.com,https://www.biocon.com/careers/,Applied,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM2,Cipla,Electronic City,Bangalore,careers@inf.com,https://www.cipla.com/careers,Applied,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM3,Wipro,Electronic City,Bangalore,careers@wipro.com,https://careers.wipro.com/,Applied,DA,6LPA,1.0,WFH,,16-01-2026,No,No,No,
COM4,Infosys,Electronic City,Bangalore,hmsrecruit@sisl.co.in,https://career.infosys.com/joblist,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM5,Siemens,Electronic City,Bangalore,osudar@in.ibm.com,https://new.siemens.com/in/en/company/jobs.html,Applied,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM6,Tata Consultancy Services (TCS),Electronic City,Bangalore,mamol@in.ibm.com,https://www.tcs.com/careers/india,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM7,IBM India,Electronic City,Bangalore,recruitment@blore.tcs.co.in,https://www.ibm.com/careers/search,Applied,DA,6LPA,1.0,WFO,,16-01-2026,Yes,Yes,No,
COM8,Accenture,Electronic City,Bangalore,careers.onco@biocon.com,https://www.ibm.com/careers/search,Applied,DS,12LPA,2.0,WFH,,16-01-2026,No,No,No,
COM9,Intel,Electronic City,Bangalore,careers.research@biocon.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFO,,16-01-2026,Yes,Yes,No,
COM10,Cisco Systems,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Applied,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM11,Dell Technologies,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM12,Hewlett Packard Enterprise (HPE),Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM13,Flipkart,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Applied,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM14,Amazon,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM15,Google India,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Applied,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM16,Microsoft India,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM17,SAP Labs,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM18,Oracle India,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Applied,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM19,Adobe Systems,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM20,Bosch,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM21,Mindtree,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM22,Capgemini,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM23,Ericsson,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM24,Qualcomm,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM25,Samsung R&D Institute India,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM26,Robert Bosch Engineering and Business Solutions,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM27,Google Cloud Bangalore,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM28,HP Inc.,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM29,McAfee,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM30,Atlassian,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM31,TCS,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM32,Accenture,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM33,Cognizant,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM34,Tech Mahindra,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM35,HCL Technologies,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM36,Capgemini,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM37,Mindtree,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM38,L&T Technology Services,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM39,Mphasis,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM40,DXC Technology,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM41,Genpact,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM42,IBM India,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM43,Oracle India,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM44,SAP Labs India,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM45,Bosch,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
